project,file_auc,file_ba,file_mcc,file_gmean,line_auc,line_recall_at_20_effort,line_effort_at_20_recall,line_ifa
activemq,0.7162,0.6594,0.1921,0.6112,0.6798,0.4985,0.038,130.4934
camel,0.5396,0.5688,0.0615,0.456,0.6052,0.3543,0.0277,196.1457
groovy,0.7808,0.6187,0.1824,0.5244,0.5507,0.2264,0.1005,185.5806
hbase,0.6081,0.5719,0.0916,0.5488,0.5371,0.1877,0.2189,210.4049
hive,0.683,0.6545,0.1742,0.6541,0.5272,0.3854,0.0999,132.7033
jruby,0.7191,0.665,0.0891,0.6596,0.589,0.2823,0.0479,606.7705
lucene,0.5443,0.5565,0.0532,0.4819,0.5566,0.1918,0.2706,99.8797
wicket,0.7777,0.7186,0.1358,0.7018,0.5519,0.2164,0.1623,98.8571
