project,file_auc,file_ba,file_mcc,file_gmean,line_auc,line_recall_at_20_effort,line_effort_at_20_recall,line_ifa
activemq,0.7347,0.6501,0.2229,0.5962,0.6639,0.4313,0.044,102.8273
camel,0.5792,0.5758,0.0665,0.4684,0.5986,0.3118,0.0767,127.4229
groovy,0.7808,0.6187,0.1824,0.5244,0.5507,0.2264,0.1005,185.5806
hbase,0.6081,0.5719,0.0916,0.5488,0.5371,0.1877,0.2189,210.4049
hive,0.683,0.6545,0.1742,0.6541,0.5272,0.3854,0.0999,132.7033
jruby,0.6882,0.625,0.0761,0.6226,0.5857,0.3856,0.0563,429.401
lucene,0.56,0.5612,0.0521,0.4859,0.5559,0.27,0.172,103.7877
wicket,0.7777,0.7186,0.1358,0.7018,0.5519,0.2164,0.1623,98.8571
